document_id,spot_name,district,category,knowledge_type,content
destination_001,Charminar,Hyderabad,Historical Monument,destination,"Charminar is a historic monument in Hyderabad, Telangana. It is one of the city's major heritage landmarks and is located in the historic old-city area near Laad Bazaar and Mecca Masjid."
destination_002,Golconda Fort,Hyderabad,Fort,destination,"Golconda Fort is a historic fortified complex in Hyderabad, Telangana. The site is known for its fortifications, elevated views and acoustic features. Exploring the complex involves considerable walking and climbing."
destination_003,Salar Jung Museum,Hyderabad,Museum,destination,"Salar Jung Museum is a major museum in Hyderabad containing collections of art, sculptures, manuscripts, textiles, clocks, furniture and other historical objects from India and abroad."
destination_004,Ramappa Temple,Mulugu,Temple,destination,"Ramappa Temple, also known as Rudreshwara Temple, is a historic Kakatiya-era temple in Telangana. It is known for its architecture and detailed sculptural work."
destination_005,Thousand Pillar Temple,Hanamkonda,Temple,destination,"Thousand Pillar Temple is a historic Kakatiya-era temple complex in Hanamkonda, Telangana. It is known for its stone architecture and sculptural craftsmanship."
destination_006,Warangal Fort,Warangal,Fort,destination,"Warangal Fort is a historic site associated with the Kakatiya dynasty in Telangana. The site contains monumental stone gateways, ruins and architectural remains."
destination_007,Bhongir Fort,Yadadri Bhuvanagiri,Fort,destination,Bhongir Fort is a hill fort at Bhongir in Telangana. The fort stands on a large monolithic rock formation and reaching the upper areas requires an uphill climb.
destination_008,Yadadri Temple,Yadadri Bhuvanagiri,Temple,destination,Yadadri is a major Hindu pilgrimage destination in Telangana. The temple complex is located at Yadagirigutta in Yadadri Bhuvanagiri district.
destination_009,Kuntala Waterfall,Nirmal,Waterfall,destination,Kuntala Waterfall is a natural waterfall attraction in northern Telangana. Visitor experience and water flow can vary substantially with seasonal and rainfall conditions.
destination_010,Hussain Sagar,Hyderabad,Lake,destination,Hussain Sagar is a large historic lake between Hyderabad and Secunderabad. The lake and its surrounding areas are major urban recreation and sightseeing locations.
